,0
157,0.5408565
158,0.5393219
159,0.5378166
160,0.5363401
161,0.5348925
162,0.5334734
163,0.5320825
164,0.53071964
165,0.5293845
166,0.528077
167,0.52679664
168,0.5255434
169,0.5243169
170,0.52311707
171,0.52194345
172,0.5207959
173,0.5196743
174,0.5185782
175,0.5175075
176,0.51646185
177,0.5154411
178,0.51444507
179,0.5134734
180,0.512526
181,0.5116024
182,0.5107026
183,0.5098263
184,0.50897324
185,0.5081431
186,0.5073359
187,0.5065512
188,0.5057889
189,0.50504875
190,0.5043304
191,0.50363386
192,0.50295866
193,0.5023048
194,0.5016719
195,0.5010599
196,0.5004685
197,0.4998975
198,0.49934664
199,0.49881577
200,0.4983047
201,0.49781328
202,0.4973411
203,0.49688816
204,0.4964542
205,0.49603903
206,0.49564236
207,0.4952641
208,0.4949041
209,0.49456206
210,0.49423784
211,0.49393132
212,0.49364203
213,0.49337026
214,0.4931155
215,0.4928776
216,0.49265632
217,0.49245167
218,0.49226338
219,0.49209133
220,0.49193525
221,0.491795
222,0.49167043
223,0.49156147
224,0.49146774
225,0.49138927
226,0.49132586
227,0.49127728
228,0.4912432
229,0.491224
230,0.49121907
231,0.49122828
232,0.49125165
233,0.491289
234,0.4913401
235,0.4914049
236,0.49148306
237,0.49157467
238,0.49167955
239,0.49179727
240,0.49192807
241,0.4920717
242,0.4922279
243,0.49239656
244,0.49257773
245,0.49277106
246,0.49297652
247,0.49319407
248,0.4934233
249,0.49366444
250,0.49391708
251,0.49418116
252,0.49445674
253,0.4947435
254,0.4950414
255,0.49535024
256,0.49567
257,0.49600053
258,0.49634165
259,0.49669328
260,0.49705538
261,0.49742788
262,0.49781054
263,0.49820325
264,0.4986059
265,0.49901852
266,0.49944088
267,0.49987286
268,0.5003145
269,0.50076544
270,0.50122595
271,0.50169563
272,0.5021745
273,0.5026623
274,0.5031593
275,0.503665
276,0.5041795
277,0.5047027
278,0.5052345
279,0.50577474
280,0.50632346
281,0.5068805
282,0.5074458
283,0.50801915
284,0.5086006
285,0.50919014
286,0.5097873
287,0.5103924
288,0.5110053
289,0.51162577
290,0.5122539
291,0.51288927
292,0.51353216
293,0.51418245
294,0.51483977
295,0.5155044
296,0.5161761
297,0.5168548
298,0.5175404
299,0.51823294
300,0.5189321
301,0.51963806
302,0.5203507
303,0.5210699
304,0.5217955
305,0.5225276
306,0.5232661
307,0.52401084
308,0.5247618
309,0.525519
310,0.5262822
311,0.5270513
312,0.52782655
313,0.5286076
314,0.5293945
315,0.5301872
316,0.5309856
317,0.5317896
318,0.5325992
319,0.53341424
320,0.5342348
321,0.53506076
322,0.5358921
323,0.53672874
324,0.5375705
325,0.53841746
326,0.53926945
327,0.54012656
328,0.5409887
329,0.5418557
330,0.5427277
331,0.5436044
332,0.544486
333,0.5453721
334,0.54626304
335,0.5471586
336,0.5480587
337,0.5489633
338,0.54987234
339,0.5507858
340,0.5517036
341,0.5526257
342,0.55355215
343,0.55448264
344,0.55541736
345,0.5563563
346,0.5572992
347,0.55824614
348,0.55919695
349,0.5601518
350,0.56111056
351,0.562073
352,0.5630393
353,0.5640093
354,0.56498307
355,0.5659604
356,0.5669414
357,0.56792593
358,0.56891394
359,0.5699055
360,0.5709003
361,0.5718987
362,0.5729003
363,0.5739052
364,0.5749135
365,0.57592493
366,0.5769396
367,0.5779572
368,0.57897806
369,0.58000195
370,0.5810288
371,0.5820587
372,0.5830915
373,0.5841272
374,0.58516574
375,0.58620703
376,0.5872512
377,0.5882981
378,0.5893476
379,0.59039986
380,0.5914546
381,0.59251213
382,0.5935721
383,0.59463465
384,0.59569955
385,0.596767
386,0.59783685
387,0.598909
388,0.5999836
389,0.60106045
390,0.6021395
391,0.6032207
392,0.6043042
393,0.6053899
394,0.6064776
395,0.6075674
396,0.60865945
397,0.6097534
398,0.6108492
399,0.61194706
400,0.61304694
401,0.6141486
402,0.61525214
403,0.61635745
404,0.6174646
405,0.61857355
406,0.6196841
407,0.6207963
408,0.62191033
409,0.6230259
410,0.624143
411,0.6252617
412,0.626382
413,0.6275037
414,0.628627
415,0.6297517
416,0.63087773
417,0.6320051
418,0.633134
419,0.634264
420,0.6353954
421,0.636528
422,0.6376619
423,0.63879704
424,0.63993317
425,0.6410706
426,0.6422091
427,0.6433486
428,0.6444892
429,0.64563084
430,0.6467734
431,0.6479171
432,0.6490615
433,0.650207
434,0.6513532
435,0.6525003
436,0.65364826
437,0.6547971
438,0.65594655
439,0.65709686
440,0.65824777
441,0.6593994
442,0.6605517
443,0.66170466
444,0.66285825
445,0.66401225
446,0.665167
447,0.6663221
448,0.66747785
449,0.6686339
450,0.6697905
451,0.6709475
452,0.67210484
453,0.6732626
454,0.67442065
455,0.6755791
456,0.6767378
457,0.6778967
458,0.6790558
459,0.6802152
460,0.6813748
461,0.6825345
462,0.6836943
463,0.68485427
464,0.6860143
465,0.68717444
466,0.6883346
467,0.68949467
468,0.69065475
469,0.6918149
470,0.6929749
471,0.69413483
472,0.6952947
473,0.69645435
474,0.6976139
475,0.69877326
476,0.6999324
477,0.7010913
478,0.70224994
479,0.70340836
480,0.7045664
481,0.7057241
482,0.7068815
483,0.70803857
484,0.7091952
485,0.7103514
486,0.71150714
487,0.71266246
488,0.71381736
489,0.7149716
490,0.7161254
491,0.7172788
492,0.7184314
493,0.71958345
494,0.72073495
495,0.7218858
496,0.72303593
497,0.72418547
498,0.7253343
499,0.72648233
500,0.72762966
501,0.7287762
502,0.72992194
503,0.73106694
