,0,1
236,tensor(-0.7511),tensor(7.5821)
237,tensor(-0.7406),tensor(7.5943)
238,tensor(-0.7301),tensor(7.6064)
239,tensor(-0.7196),tensor(7.6185)
240,tensor(-0.7090),tensor(7.6307)
241,tensor(-0.6985),tensor(7.6428)
242,tensor(-0.6880),tensor(7.6550)
243,tensor(-0.6774),tensor(7.6671)
244,tensor(-0.6668),tensor(7.6792)
245,tensor(-0.6563),tensor(7.6914)
246,tensor(-0.6457),tensor(7.7035)
247,tensor(-0.6351),tensor(7.7156)
248,tensor(-0.6246),tensor(7.7278)
249,tensor(-0.6140),tensor(7.7399)
250,tensor(-0.6034),tensor(7.7520)
251,tensor(-0.5928),tensor(7.7642)
252,tensor(-0.5822),tensor(7.7763)
253,tensor(-0.5716),tensor(7.7884)
254,tensor(-0.5610),tensor(7.8005)
255,tensor(-0.5503),tensor(7.8127)
256,tensor(-0.5397),tensor(7.8248)
257,tensor(-0.5291),tensor(7.8369)
258,tensor(-0.5185),tensor(7.8490)
259,tensor(-0.5078),tensor(7.8611)
260,tensor(-0.4972),tensor(7.8733)
261,tensor(-0.4865),tensor(7.8854)
262,tensor(-0.4759),tensor(7.8975)
263,tensor(-0.4652),tensor(7.9096)
264,tensor(-0.4545),tensor(7.9217)
265,tensor(-0.4438),tensor(7.9338)
266,tensor(-0.4332),tensor(7.9459)
267,tensor(-0.4225),tensor(7.9580)
268,tensor(-0.4118),tensor(7.9701)
269,tensor(-0.4011),tensor(7.9822)
270,tensor(-0.3904),tensor(7.9943)
271,tensor(-0.3797),tensor(8.0064)
272,tensor(-0.3690),tensor(8.0185)
273,tensor(-0.3583),tensor(8.0306)
274,tensor(-0.3475),tensor(8.0427)
275,tensor(-0.3368),tensor(8.0548)
276,tensor(-0.3261),tensor(8.0669)
277,tensor(-0.3153),tensor(8.0790)
278,tensor(-0.3046),tensor(8.0911)
279,tensor(-0.2939),tensor(8.1032)
280,tensor(-0.2831),tensor(8.1152)
281,tensor(-0.2723),tensor(8.1273)
282,tensor(-0.2616),tensor(8.1394)
283,tensor(-0.2508),tensor(8.1515)
284,tensor(-0.2400),tensor(8.1636)
285,tensor(-0.2293),tensor(8.1756)
286,tensor(-0.2185),tensor(8.1877)
287,tensor(-0.2077),tensor(8.1998)
288,tensor(-0.1969),tensor(8.2118)
289,tensor(-0.1861),tensor(8.2239)
290,tensor(-0.1753),tensor(8.2360)
291,tensor(-0.1645),tensor(8.2480)
292,tensor(-0.1537),tensor(8.2601)
293,tensor(-0.1429),tensor(8.2722)
294,tensor(-0.1321),tensor(8.2842)
295,tensor(-0.1212),tensor(8.2963)
296,tensor(-0.1104),tensor(8.3083)
297,tensor(-0.0996),tensor(8.3204)
298,tensor(-0.0887),tensor(8.3324)
299,tensor(-0.0779),tensor(8.3445)
300,tensor(-0.0670),tensor(8.3565)
301,tensor(-0.0562),tensor(8.3686)
302,tensor(-0.0453),tensor(8.3806)
303,tensor(-0.0345),tensor(8.3927)
304,tensor(-0.0236),tensor(8.4047)
305,tensor(-0.0127),tensor(8.4167)
306,tensor(-0.0018),tensor(8.4288)
307,tensor(0.0090),tensor(8.4408)
308,tensor(0.0199),tensor(8.4528)
309,tensor(0.0308),tensor(8.4649)
310,tensor(0.0417),tensor(8.4769)
311,tensor(0.0526),tensor(8.4889)
312,tensor(0.0635),tensor(8.5009)
313,tensor(0.0744),tensor(8.5130)
314,tensor(0.0853),tensor(8.5250)
315,tensor(0.0963),tensor(8.5370)
316,tensor(0.1072),tensor(8.5490)
317,tensor(0.1181),tensor(8.5610)
318,tensor(0.1291),tensor(8.5730)
319,tensor(0.1400),tensor(8.5850)
320,tensor(0.1509),tensor(8.5970)
321,tensor(0.1619),tensor(8.6091)
322,tensor(0.1728),tensor(8.6211)
323,tensor(0.1838),tensor(8.6331)
324,tensor(0.1947),tensor(8.6451)
325,tensor(0.2057),tensor(8.6571)
326,tensor(0.2167),tensor(8.6690)
327,tensor(0.2276),tensor(8.6810)
328,tensor(0.2386),tensor(8.6930)
329,tensor(0.2496),tensor(8.7050)
330,tensor(0.2606),tensor(8.7170)
331,tensor(0.2716),tensor(8.7290)
332,tensor(0.2826),tensor(8.7410)
333,tensor(0.2936),tensor(8.7530)
334,tensor(0.3046),tensor(8.7649)
335,tensor(0.3156),tensor(8.7769)
336,tensor(0.3266),tensor(8.7889)
337,tensor(0.3376),tensor(8.8009)
338,tensor(0.3486),tensor(8.8128)
339,tensor(0.3597),tensor(8.8248)
340,tensor(0.3707),tensor(8.8368)
341,tensor(0.3817),tensor(8.8487)
342,tensor(0.3928),tensor(8.8607)
343,tensor(0.4038),tensor(8.8727)
344,tensor(0.4148),tensor(8.8846)
345,tensor(0.4259),tensor(8.8966)
346,tensor(0.4370),tensor(8.9085)
347,tensor(0.4480),tensor(8.9205)
348,tensor(0.4591),tensor(8.9324)
349,tensor(0.4701),tensor(8.9444)
350,tensor(0.4812),tensor(8.9563)
351,tensor(0.4923),tensor(8.9683)
352,tensor(0.5034),tensor(8.9802)
353,tensor(0.5145),tensor(8.9921)
354,tensor(0.5255),tensor(9.0041)
355,tensor(0.5366),tensor(9.0160)
356,tensor(0.5477),tensor(9.0280)
357,tensor(0.5588),tensor(9.0399)
358,tensor(0.5699),tensor(9.0518)
359,tensor(0.5811),tensor(9.0637)
360,tensor(0.5922),tensor(9.0757)
361,tensor(0.6033),tensor(9.0876)
362,tensor(0.6144),tensor(9.0995)
363,tensor(0.6255),tensor(9.1114)
364,tensor(0.6367),tensor(9.1233)
365,tensor(0.6478),tensor(9.1353)
366,tensor(0.6589),tensor(9.1472)
367,tensor(0.6701),tensor(9.1591)
368,tensor(0.6812),tensor(9.1710)
369,tensor(0.6924),tensor(9.1829)
370,tensor(0.7035),tensor(9.1948)
371,tensor(0.7147),tensor(9.2067)
372,tensor(0.7259),tensor(9.2186)
373,tensor(0.7370),tensor(9.2305)
374,tensor(0.7482),tensor(9.2424)
375,tensor(0.7594),tensor(9.2543)
376,tensor(0.7705),tensor(9.2662)
377,tensor(0.7817),tensor(9.2781)
378,tensor(0.7929),tensor(9.2900)
379,tensor(0.8041),tensor(9.3019)
380,tensor(0.8153),tensor(9.3137)
381,tensor(0.8265),tensor(9.3256)
382,tensor(0.8377),tensor(9.3375)
383,tensor(0.8489),tensor(9.3494)
384,tensor(0.8601),tensor(9.3613)
385,tensor(0.8713),tensor(9.3731)
386,tensor(0.8825),tensor(9.3850)
387,tensor(0.8938),tensor(9.3969)
388,tensor(0.9050),tensor(9.4087)
389,tensor(0.9162),tensor(9.4206)
390,tensor(0.9274),tensor(9.4325)
391,tensor(0.9387),tensor(9.4443)
392,tensor(0.9499),tensor(9.4562)
393,tensor(0.9612),tensor(9.4680)
394,tensor(0.9724),tensor(9.4799)
395,tensor(0.9837),tensor(9.4918)
396,tensor(0.9949),tensor(9.5036)
397,tensor(1.0062),tensor(9.5155)
398,tensor(1.0174),tensor(9.5273)
399,tensor(1.0287),tensor(9.5391)
400,tensor(1.0400),tensor(9.5510)
401,tensor(1.0512),tensor(9.5628)
402,tensor(1.0625),tensor(9.5747)
403,tensor(1.0738),tensor(9.5865)
404,tensor(1.0851),tensor(9.5983)
405,tensor(1.0963),tensor(9.6102)
406,tensor(1.1076),tensor(9.6220)
407,tensor(1.1189),tensor(9.6338)
408,tensor(1.1302),tensor(9.6456)
409,tensor(1.1415),tensor(9.6575)
410,tensor(1.1528),tensor(9.6693)
411,tensor(1.1641),tensor(9.6811)
412,tensor(1.1754),tensor(9.6929)
413,tensor(1.1867),tensor(9.7047)
414,tensor(1.1981),tensor(9.7165)
415,tensor(1.2094),tensor(9.7283)
416,tensor(1.2207),tensor(9.7401)
417,tensor(1.2320),tensor(9.7519)
418,tensor(1.2433),tensor(9.7637)
419,tensor(1.2547),tensor(9.7755)
420,tensor(1.2660),tensor(9.7873)
421,tensor(1.2773),tensor(9.7991)
422,tensor(1.2887),tensor(9.8109)
423,tensor(1.3000),tensor(9.8227)
424,tensor(1.3114),tensor(9.8345)
425,tensor(1.3227),tensor(9.8463)
426,tensor(1.3341),tensor(9.8580)
427,tensor(1.3454),tensor(9.8698)
428,tensor(1.3568),tensor(9.8816)
429,tensor(1.3681),tensor(9.8934)
430,tensor(1.3795),tensor(9.9051)
431,tensor(1.3909),tensor(9.9169)
432,tensor(1.4022),tensor(9.9287)
433,tensor(1.4136),tensor(9.9404)
434,tensor(1.4250),tensor(9.9522)
435,tensor(1.4363),tensor(9.9640)
436,tensor(1.4477),tensor(9.9757)
437,tensor(1.4591),tensor(9.9875)
438,tensor(1.4705),tensor(9.9992)
439,tensor(1.4819),tensor(10.0110)
440,tensor(1.4933),tensor(10.0227)
441,tensor(1.5046),tensor(10.0344)
442,tensor(1.5160),tensor(10.0462)
443,tensor(1.5274),tensor(10.0579)
444,tensor(1.5388),tensor(10.0696)
445,tensor(1.5502),tensor(10.0814)
446,tensor(1.5616),tensor(10.0931)
447,tensor(1.5730),tensor(10.1048)
448,tensor(1.5844),tensor(10.1165)
449,tensor(1.5958),tensor(10.1283)
450,tensor(1.6072),tensor(10.1400)
451,tensor(1.6186),tensor(10.1517)
452,tensor(1.6301),tensor(10.1634)
453,tensor(1.6415),tensor(10.1751)
454,tensor(1.6529),tensor(10.1868)
455,tensor(1.6643),tensor(10.1985)
456,tensor(1.6757),tensor(10.2102)
457,tensor(1.6871),tensor(10.2219)
458,tensor(1.6986),tensor(10.2336)
459,tensor(1.7100),tensor(10.2453)
460,tensor(1.7214),tensor(10.2569)
461,tensor(1.7328),tensor(10.2686)
462,tensor(1.7443),tensor(10.2803)
463,tensor(1.7557),tensor(10.2920)
464,tensor(1.7671),tensor(10.3036)
465,tensor(1.7785),tensor(10.3153)
466,tensor(1.7900),tensor(10.3270)
467,tensor(1.8014),tensor(10.3386)
468,tensor(1.8128),tensor(10.3503)
469,tensor(1.8243),tensor(10.3619)
470,tensor(1.8357),tensor(10.3736)
471,tensor(1.8471),tensor(10.3852)
472,tensor(1.8586),tensor(10.3968)
473,tensor(1.8700),tensor(10.4085)
474,tensor(1.8814),tensor(10.4201)
475,tensor(1.8929),tensor(10.4317)
476,tensor(1.9043),tensor(10.4434)
477,tensor(1.9158),tensor(10.4550)
478,tensor(1.9272),tensor(10.4666)
479,tensor(1.9386),tensor(10.4782)
480,tensor(1.9501),tensor(10.4898)
481,tensor(1.9615),tensor(10.5014)
482,tensor(1.9730),tensor(10.5130)
483,tensor(1.9844),tensor(10.5246)
484,tensor(1.9958),tensor(10.5362)
485,tensor(2.0073),tensor(10.5478)
486,tensor(2.0187),tensor(10.5594)
487,tensor(2.0302),tensor(10.5710)
488,tensor(2.0416),tensor(10.5825)
489,tensor(2.0530),tensor(10.5941)
490,tensor(2.0645),tensor(10.6057)
491,tensor(2.0759),tensor(10.6172)
492,tensor(2.0874),tensor(10.6288)
493,tensor(2.0988),tensor(10.6403)
494,tensor(2.1102),tensor(10.6519)
495,tensor(2.1217),tensor(10.6634)
496,tensor(2.1331),tensor(10.6750)
497,tensor(2.1445),tensor(10.6865)
498,tensor(2.1560),tensor(10.6980)
499,tensor(2.1674),tensor(10.7095)
500,tensor(2.1788),tensor(10.7211)
501,tensor(2.1903),tensor(10.7326)
