Timestamp,Country,Num_Flights,Num_Covid_Cases
4/3/2021,Independent State of Papua New Guinea,7,
4/3/2021,India,262,93249
4/3/2021,Indonesia,49,4345
4/3/2021,"Iran, Islamic Republic of",25,
4/3/2021,Ireland,13,508
4/3/2021,Israel,30,363
4/3/2021,Italy,157,21247
4/3/2021,Jamaica,17,482
4/3/2021,Japan,786,2772
4/3/2021,Jordan,20,4042
4/3/2021,Kazakhstan,92,2104
4/3/2021,Kenya,6,1184
4/3/2021,Korea,343,
4/3/2021,Kuwait,31,1235
4/3/2021,Latvia,25,279
4/3/2021,Lebanon,26,2188
4/3/2021,Libya,4,0
4/3/2021,Luxembourg,97,0
4/3/2021,"Macao SAR, China",24,
4/3/2021,Madagascar,1,294
4/3/2021,Malaysia,60,1638
4/3/2021,Malta,1,62
4/3/2021,Mauritius,1,33
4/3/2021,Mexico,369,1838
4/3/2021,"Moldova, Republic of",6,
4/3/2021,Mongolia,1,0
4/3/2021,Morocco,38,575
4/3/2021,Netherlands,247,8139
4/3/2021,New Caledonia,1,
4/3/2021,New Zealand,212,0
4/3/2021,Norway,55,692
4/3/2021,Oman,3,0
4/3/2021,Pakistan,39,5020
4/3/2021,Panama,83,223
4/3/2021,Peru,16,5616
4/3/2021,Philippines,32,12546
4/3/2021,Poland,64,28073
4/3/2021,Portugal,154,280
4/3/2021,Qatar,377,870
4/3/2021,Romania,30,5498
4/3/2021,Russian Federation,996,8906
4/3/2021,Saudi Arabia,101,684
4/3/2021,Singapore,128,18
4/3/2021,South Africa,48,777
4/3/2021,Spain,265,9571
4/3/2021,Sri Lanka,16,167
4/3/2021,Suriname,2,23
4/3/2021,Sweden,74,0
4/3/2021,Switzerland,96,0
4/3/2021,Syrian Arab Republic,1,
4/3/2021,"Tanzania, United Republic of",1,
4/3/2021,Thailand,60,84
4/3/2021,Tunisia,23,1404
4/3/2021,Turkey,1172,44756
4/3/2021,Ukraine,48,20456
4/3/2021,United Arab Emirates,438,2084
4/3/2021,United Kingdom,131,3424
4/3/2021,United States,7772,64047
4/3/2021,Uzbekistan,20,196
4/3/2021,Vietnam,192,6
4/3/2021,Yemen,2,77
4/4/2021,Algeria,33,98
4/4/2021,Antigua and Barbuda,4,0
4/4/2021,Argentina,47,9955
4/4/2021,Australia,195,9
4/4/2021,Austria,77,2743
4/4/2021,Azerbaijan,7,2561
4/4/2021,Bahrain,72,1047
4/4/2021,Bangladesh,36,7087
4/4/2021,Belarus,74,1239
4/4/2021,Belgium,34,3522
4/4/2021,Bolivia,4,467
4/4/2021,Brazil,236,32318
4/4/2021,Brunei Darussalam,1,
4/4/2021,Bulgaria,19,740
4/4/2021,Canada,153,4416
4/4/2021,Cape Verde,1,
4/4/2021,Chile,23,7307
4/4/2021,China (People's Republic of),1961,40
4/4/2021,Chinese Taipei,239,2
4/4/2021,Colombia,131,9022
4/4/2021,Costa Rica,1,0
4/4/2021,Croatia,28,1376
4/4/2021,Czech Republic,8,2162
4/4/2021,Ecuador,1,2506
4/4/2021,Egypt,43,709
4/4/2021,El Salvador,13,157
4/4/2021,Ethiopia,63,1878
4/4/2021,Fiji,1,0
4/4/2021,Finland,70,324
4/4/2021,France,283,80635
4/4/2021,French Polynesia,8,
4/4/2021,Germany,555,10300
4/4/2021,Greece,68,1955
4/4/2021,"Hong Kong SAR, China",66,
4/4/2021,Iceland,4,0
4/4/2021,Independent State of Papua New Guinea,7,
4/4/2021,India,256,103558
4/4/2021,Indonesia,40,6731
4/4/2021,"Iran, Islamic Republic of",21,
4/4/2021,Ireland,27,453
4/4/2021,Israel,62,177
4/4/2021,Italy,135,18017
4/4/2021,Jamaica,10,214
4/4/2021,Japan,769,2467
4/4/2021,Jordan,17,6032
4/4/2021,Kazakhstan,100,1938
4/4/2021,Kenya,9,911
4/4/2021,Korea,365,
4/4/2021,Kuwait,35,1203
4/4/2021,Latvia,41,238
4/4/2021,Lebanon,25,2388
4/4/2021,Libya,2,1206
4/4/2021,Luxembourg,93,0
4/4/2021,"Macao SAR, China",28,
4/4/2021,Malaysia,61,1349
4/4/2021,Malta,10,34
4/4/2021,Mauritius,1,13
4/4/2021,Mexico,418,1263
4/4/2021,"Moldova, Republic of",2,
